I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,Angle
497,580,577,609,728,839,641,501,670,501,429,763,428,579,430,6
496,580,578,609,728,839,640,500,670,499,428,755,427,579,432,6
498,581,579,611,728,838,641,501,670,500,428,751,426,579,430,6
498,582,580,611,731,838,641,501,671,501,428,758,428,580,432,6
498,583,581,613,732,838,644,503,671,501,428,753,427,579,432,6
496,582,581,611,733,839,644,499,671,498,427,741,426,578,431,6
499,584,583,613,733,839,645,502,672,502,430,761,429,580,431,6
499,585,583,614,734,839,645,502,672,502,429,749,429,580,432,6
499,585,584,615,734,839,645,503,673,503,429,752,428,580,432,6
499,585,583,615,734,840,645,502,672,501,428,749,429,580,432,6
498,585,584,615,732,839,645,501,672,501,428,746,428,580,432,6
499,586,583,615,732,838,645,503,672,503,430,754,429,580,433,6
500,587,585,616,734,839,645,502,672,502,429,750,428,580,432,6
499,586,585,616,733,839,646,502,672,502,429,752,429,579,432,6
499,586,584,616,734,839,645,502,672,502,430,754,429,579,433,6
499,585,584,618,734,839,645,503,672,502,429,753,429,580,433,6
499,586,585,618,734,839,645,503,672,503,430,751,428,580,433,6
499,586,585,619,735,839,646,503,672,503,429,751,429,580,433,6
500,586,584,619,734,839,646,503,672,502,430,753,429,581,433,6
500,587,585,619,735,839,647,504,673,503,430,755,430,581,434,6
500,587,585,620,736,839,646,504,673,504,431,755,430,581,434,6
499,587,585,619,735,840,646,503,672,503,430,749,428,580,432,6
500,587,585,619,732,840,646,503,673,502,430,757,429,580,432,6
499,585,583,619,730,839,645,501,670,501,428,752,426,580,431,6
498,583,581,619,732,839,645,501,671,501,428,754,428,580,432,6
497,581,580,619,732,839,644,500,671,500,427,744,426,579,431,6
497,581,580,618,736,840,644,501,670,500,427,742,426,579,430,6
497,582,581,619,735,840,644,500,671,500,427,740,427,579,431,6
498,583,582,620,733,840,645,502,671,501,429,752,428,580,433,6
498,584,582,620,733,839,645,502,672,501,429,753,428,580,432,6
499,584,583,620,732,839,645,502,672,501,429,750,427,580,431,6
498,584,582,620,732,840,645,501,672,501,429,750,428,580,431,6
497,584,582,619,733,841,645,501,672,501,428,736,428,580,430,6
498,585,583,620,733,840,646,502,673,501,429,742,428,580,431,6
499,585,583,617,736,841,643,501,673,502,428,734,427,580,431,6
499,585,583,618,731,840,644,502,672,501,428,739,427,579,430,6
497,580,578,616,735,840,642,500,668,500,428,752,427,580,432,6
498,583,582,617,737,839,644,502,669,502,429,756,428,580,432,6
497,585,583,616,733,840,643,501,668,501,428,752,428,580,432,6
497,583,581,616,734,840,643,500,668,501,428,752,428,580,432,6
499,585,584,617,736,839,644,503,669,503,430,758,429,581,432,6
498,585,584,617,735,840,645,502,669,502,430,754,428,581,432,6
499,585,584,618,735,839,645,502,669,502,429,752,429,581,432,6
499,586,585,618,736,840,644,502,669,502,429,749,428,581,432,6
499,586,584,617,735,840,645,502,669,502,429,752,429,581,432,6
498,585,583,615,734,839,645,502,669,502,430,757,429,582,433,6
498,586,584,615,734,840,644,503,669,502,430,753,429,582,432,6
499,585,583,616,735,840,644,502,669,502,429,748,428,581,432,6
498,584,583,618,734,840,644,502,669,501,428,746,428,581,431,6
498,586,584,615,734,841,643,500,669,499,426,724,425,580,429,6
497,583,582,615,737,841,643,500,669,500,427,742,428,581,432,6
497,585,583,617,736,840,643,501,669,501,427,737,427,580,431,6
498,585,583,617,737,842,644,500,669,500,427,731,426,580,430,6
498,583,580,616,736,840,643,501,669,501,428,741,427,580,431,6
498,583,581,618,736,841,644,501,670,501,428,743,427,580,431,6
498,584,582,619,736,840,644,502,671,502,429,743,427,581,431,6
499,585,584,619,738,841,644,503,672,502,428,743,427,580,431,6
498,584,583,618,731,841,643,500,671,500,428,750,428,581,432,6
499,584,582,618,733,841,643,501,672,501,428,740,427,580,431,6
499,587,585,617,733,841,643,500,671,500,428,746,428,580,431,6
499,582,582,618,733,841,643,501,672,500,427,735,426,580,430,6
496,584,582,619,729,841,644,504,673,503,429,760,429,581,432,6
499,585,583,619,731,840,643,502,674,501,429,760,429,581,433,6
500,588,587,620,731,840,646,502,674,503,430,756,431,583,435,6
500,587,584,620,734,840,645,503,671,503,431,754,429,583,433,6
499,584,581,619,732,840,645,502,670,503,430,764,430,582,433,6
499,584,583,618,734,840,645,503,670,502,430,758,429,583,433,6
500,585,583,619,735,840,645,502,670,502,430,753,429,583,432,6
498,584,583,619,734,841,645,501,670,501,428,737,427,583,431,6
499,587,585,620,735,840,646,502,670,501,429,744,428,583,432,6
498,585,584,618,735,841,646,501,670,502,429,743,429,583,431,6
499,585,584,618,737,840,646,502,671,502,429,743,427,583,432,6
501,587,586,620,737,840,647,504,672,504,430,750,429,583,432,6
499,585,583,618,738,841,646,502,672,502,429,738,427,583,431,6
499,584,584,619,738,841,645,502,672,501,429,747,429,584,433,6
500,586,584,619,738,841,646,503,672,503,430,746,429,583,431,6
497,585,583,620,737,841,647,504,672,505,432,763,431,585,435,6
501,588,586,621,737,839,646,505,673,504,432,761,431,584,434,6
501,587,585,621,737,840,646,504,672,504,431,757,430,584,434,6
501,587,586,621,737,839,647,504,673,503,431,746,428,584,432,6
499,587,585,620,736,841,646,501,672,501,428,730,427,583,432,6
500,587,584,620,735,841,647,504,673,504,429,737,428,583,431,6
499,586,585,620,736,840,647,505,673,503,430,745,428,584,433,6
499,587,585,621,736,841,646,503,673,502,429,744,429,584,432,6
500,585,583,621,735,841,646,504,674,503,430,755,430,585,434,6
500,585,583,621,736,841,646,502,674,503,429,736,427,583,430,6
499,585,583,621,737,842,646,501,675,501,428,732,427,584,433,6
502,588,585,622,737,841,646,503,674,502,429,737,429,584,432,6
499,585,583,621,736,841,647,503,675,503,430,745,430,584,434,6
501,588,587,622,735,841,646,503,675,504,430,737,428,584,432,6
498,587,585,621,736,841,647,503,675,503,430,745,430,584,433,6
501,590,588,622,738,841,647,505,676,505,431,744,430,585,434,6
501,591,589,622,738,841,647,505,674,503,431,741,429,585,433,6
501,588,586,622,737,841,646,503,671,500,428,740,426,583,430,6
460,559,558,599,731,852,628,463,652,462,425,740,423,566,430,6
454,547,549,594,727,851,626,458,641,458,425,740,423,564,430,6
455,552,550,593,729,850,627,460,643,459,425,740,423,565,430,6
457,555,553,595,732,851,627,461,645,461,425,740,423,566,430,6
458,555,554,596,730,851,628,462,647,461,425,740,423,567,430,6
458,556,554,596,731,852,628,462,649,461,425,740,423,568,430,6
459,558,555,597,733,852,628,463,650,462,425,740,423,568,430,6
459,557,556,597,731,852,628,463,651,462,425,740,423,569,430,6
460,559,558,598,734,852,629,464,652,463,425,740,423,569,430,6
460,559,557,598,734,853,628,463,652,462,425,740,423,569,430,6
460,559,557,597,732,853,629,464,654,463,425,740,423,569,430,6
461,560,558,599,732,853,629,464,654,463,425,740,423,568,430,6
460,560,557,603,730,852,628,463,654,462,425,740,423,568,430,6
459,558,557,605,731,852,628,463,654,463,425,740,423,567,430,6
460,559,557,606,732,853,629,464,655,463,425,740,423,568,430,6
460,561,559,606,732,853,629,464,655,463,425,740,423,567,430,6
459,558,556,599,729,853,629,462,655,463,425,740,423,567,430,6
461,559,558,600,732,853,629,464,656,463,425,740,423,566,430,6
460,558,556,599,730,853,628,463,656,463,425,740,423,567,430,6
461,561,560,598,727,853,629,464,658,464,425,740,423,568,430,6
462,564,563,598,731,852,630,466,659,466,425,740,423,568,430,6
463,564,562,597,734,853,631,467,660,466,425,740,423,569,430,6
499,591,588,616,737,841,647,503,673,503,429,747,428,585,434,6
502,591,588,616,736,840,648,506,673,505,432,752,431,586,435,6
501,587,584,616,735,839,647,504,672,504,431,755,430,585,435,6
